Photographer,Photo URL,License,Taken Date,Upload Date,Views,Comments,Title,Description,Tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4439768834/,(c) All Rights Reserved,Tue Mar 16 04:02:32 GMT-0400 2010,Tue Mar 16 21:08:20 GMT-0400 2010,"Latitude:10.233251, Longitude:-61.496143",429,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979307603/,(c) All Rights Reserved,Sat Oct 3 04:03:31 GMT-0400 2009,Sun Oct 4 08:17:30 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",199,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979308603/,(c) All Rights Reserved,Sat Oct 3 04:36:07 GMT-0400 2009,Sun Oct 4 08:18:02 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",248,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979309667/,(c) All Rights Reserved,Sat Oct 3 04:36:11 GMT-0400 2009,Sun Oct 4 08:18:33 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",263,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3980066414/,(c) All Rights Reserved,Sat Oct 3 04:02:40 GMT-0400 2009,Sun Oct 4 08:16:38 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",133,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3980067178/,(c) All Rights Reserved,Sat Oct 3 04:02:43 GMT-0400 2009,Sun Oct 4 08:17:03 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",278,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/2412871977/,(c) All Rights Reserved,Sun Apr 13 21:56:28 GMT-0400 2008,Mon Apr 14 10:10:31 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",240,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/2412875551/,(c) All Rights Reserved,Sun Apr 13 21:57:01 GMT-0400 2008,Mon Apr 14 10:12:28 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",535,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/2413699670/,(c) All Rights Reserved,Sun Apr 13 21:56:42 GMT-0400 2008,Mon Apr 14 10:11:29 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",299,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/5932233646/,(c) All Rights Reserved,Tue Jul 12 17:50:00 GMT-0400 2011,Tue Jul 12 20:50:00 GMT-0400 2011,111,0,"'Der Gefangene' by Nikolaj Alexandrowitsch Jaroschenko, Remixed.","Derivation of public domain image as found <a href=""http://en.wikiquote.org/wiki/File:Nikolaj_Alexandrowitsch_Jaroschenko_002.jpg"" rel=""nofollow"">here</a>. All hail Gimp.","remix ""Nikolaj Alexandrowitsch Jaroschenko"" ""Der Gefangene"" Gimp"
TaranRampersad,https://www.flickr.com/photos/knowprose/104449798/,(c) All Rights Reserved,Sat Feb 25 15:31:44 GMT-0500 2006,Sat Feb 25 22:21:21 GMT-0500 2006,"Latitude:10.264586, Longitude:-61.462669",56,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/5816950508/,(c) All Rights Reserved,Thu Jun 9 12:09:07 GMT-0400 2011,Thu Jun 9 21:07:28 GMT-0400 2011,72,0,'Strong' Painting,"Of course, he smiled so there are some ghost teeth in there...","HDR ""Rampersad's General Electrical Engineering Ltd"" ""San Fernando"" Trinidad ""Trinidad and Tobago"" ""West Indies"" ""Motor Rewinding"""
TaranRampersad,https://www.flickr.com/photos/knowprose/2804995495/,(c) All Rights Reserved,Wed Aug 27 15:19:48 GMT-0400 2008,Thu Aug 28 07:20:31 GMT-0400 2008,"Latitude:10.419611, Longitude:-61.415805",310,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/19968463558/,(c) All Rights Reserved,Tue Jul 7 05:23:38 GMT-0400 2015,Thu Jul 30 20:56:37 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21794187876/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 17:16:37 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/22120184585/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 19:35:52 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21795057026/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 18:00:42 GMT-0400 2015,0,0,001_2_3_4_5Enhancer,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4720523071/,(c) All Rights Reserved,Sun Jun 20 04:11:03 GMT-0400 2010,Mon Jun 21 10:15:08 GMT-0400 2010,"Latitude:18.433364, Longitude:-69.954757",40,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/9006033953/,(c) All Rights Reserved,Sat Jun 8 12:42:28 GMT-0400 2013,Mon Jun 10 09:54:56 GMT-0400 2013,34,0,001,(no description),"""New Smyrna Beach"" Florida"
TaranRampersad,https://www.flickr.com/photos/knowprose/20148499012/,(c) All Rights Reserved,Tue Jul 7 05:23:49 GMT-0400 2015,Thu Jul 30 20:58:19 GMT-0400 2015,0,0,002,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21497355364/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 19:36:17 GMT-0400 2015,0,0,002,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21633451058/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 18:08:05 GMT-0400 2015,0,0,002,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4721173476/,(c) All Rights Reserved,Sun Jun 20 04:11:07 GMT-0400 2010,Mon Jun 21 10:15:19 GMT-0400 2010,"Latitude:18.433364, Longitude:-69.954757",26,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/5875947741/,(c) All Rights Reserved,Sun Jun 26 08:20:04 GMT-0400 2011,Mon Jun 27 04:38:47 GMT-0400 2011,54,0,002,(no description),"""quiscalus lugubris"" ""carib grackle"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/9007216580/,(c) All Rights Reserved,Sun Jun 9 06:21:08 GMT-0400 2013,Mon Jun 10 09:55:18 GMT-0400 2013,36,0,002,(no description),"""New Smyrna Beach"" Florida"
TaranRampersad,https://www.flickr.com/photos/knowprose/20156608675/,(c) All Rights Reserved,Tue Jul 7 05:24:09 GMT-0400 2015,Thu Jul 30 20:59:24 GMT-0400 2015,0,0,003,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21632304760/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 17:17:40 GMT-0400 2015,0,0,003,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21932015430/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 19:36:43 GMT-0400 2015,0,0,003,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/20148540082/,(c) All Rights Reserved,Tue Jul 7 05:24:18 GMT-0400 2015,Thu Jul 30 21:00:23 GMT-0400 2015,0,0,004,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/2056504832/,(c) All Rights Reserved,Thu Nov 22 00:04:02 GMT-0500 2007,Thu Nov 22 22:19:59 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",17,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21504022194/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Tue Oct 13 01:22:22 GMT-0400 2015,0,0,004,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21829892601/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 17:18:10 GMT-0400 2015,0,0,004,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4721173938/,(c) All Rights Reserved,Sun Jun 20 04:11:18 GMT-0400 2010,Mon Jun 21 10:15:30 GMT-0400 2010,"Latitude:18.433364, Longitude:-69.954757",18,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/5876508936/,(c) All Rights Reserved,Sun Jun 26 08:23:10 GMT-0400 2011,Mon Jun 27 04:39:04 GMT-0400 2011,310,0,004,(no description),"""Ramphocelus Carbo"" ""Silver beak tanager"" ""Silver beaked tanager"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/2056506396/,(c) All Rights Reserved,Thu Nov 22 00:04:09 GMT-0500 2007,Thu Nov 22 22:20:55 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",20,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21197608954/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 17:18:39 GMT-0400 2015,0,0,005,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21502072754/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 23:35:20 GMT-0400 2015,0,0,005,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/5875948703/,(c) All Rights Reserved,Sun Jun 26 08:23:31 GMT-0400 2011,Mon Jun 27 04:39:19 GMT-0400 2011,214,0,005,(no description),"""Ramphocelus Carbo"" ""Silver beak tanager"" ""Silver beaked tanager"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/20156658675/,(c) All Rights Reserved,Tue Jul 7 05:27:05 GMT-0400 2015,Thu Jul 30 21:01:55 GMT-0400 2015,0,0,006,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/2055722693/,(c) All Rights Reserved,Thu Nov 22 00:04:17 GMT-0500 2007,Thu Nov 22 22:21:38 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",19,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21633496589/,(c) All Rights Reserved,Sun Sep 20 06:52:29 GMT-0400 2015,Tue Sep 29 17:19:07 GMT-0400 2015,0,0,006,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/22107669902/,(c) All Rights Reserved,Sun Oct 4 07:34:53 GMT-0400 2015,Mon Oct 12 19:38:09 GMT-0400 2015,0,0,006,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/20162273231/,(c) All Rights Reserved,Tue Jul 7 05:27:13 GMT-0400 2015,Thu Jul 30 21:03:50 GMT-0400 2015,0,0,007,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/2056508828/,(c) All Rights Reserved,Thu Nov 22 00:04:19 GMT-0500 2007,Thu Nov 22 22:22:20 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",17,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21197627664/,(c) All Rights Reserved,Sun Sep 20 06:52:29 GMT-0400 2015,Tue Sep 29 17:19:33 GMT-0400 2015,0,0,007,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21503798853/,(c) All Rights Reserved,Sun Oct 4 07:34:53 GMT-0400 2015,Mon Oct 12 23:35:42 GMT-0400 2015,0,0,007,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/19535743003/,(c) All Rights Reserved,Tue Jul 7 05:27:21 GMT-0400 2015,Thu Jul 30 21:05:24 GMT-0400 2015,0,0,008,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/2055725411/,(c) All Rights Reserved,Thu Nov 22 00:04:25 GMT-0500 2007,Thu Nov 22 22:23:18 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",13,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21499125393/,(c) All Rights Reserved,Sun Oct 4 07:34:53 GMT-0400 2015,Mon Oct 12 19:38:59 GMT-0400 2015,0,0,008,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21632509308/,(c) All Rights Reserved,Sun Sep 20 06:52:29 GMT-0400 2015,Tue Sep 29 17:20:00 GMT-0400 2015,0,0,008,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/5876509832/,(c) All Rights Reserved,Sun Jun 26 08:27:28 GMT-0400 2011,Mon Jun 27 04:39:34 GMT-0400 2011,220,0,008,(no description),"""Ramphocelus Carbo"" ""Silver beak tanager"" ""Silver beaked tanager"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/20162333271/,(c) All Rights Reserved,Tue Jul 7 05:27:39 GMT-0400 2015,Thu Jul 30 21:06:53 GMT-0400 2015,0,0,009,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/2056514358/,(c) All Rights Reserved,Thu Nov 22 00:04:32 GMT-0500 2007,Thu Nov 22 22:25:25 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",8,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21633522379/,(c) All Rights Reserved,Sun Sep 20 06:52:29 GMT-0400 2015,Tue Sep 29 17:20:23 GMT-0400 2015,0,0,009,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21932064290/,(c) All Rights Reserved,Sun Oct 4 07:34:54 GMT-0400 2015,Mon Oct 12 19:39:22 GMT-0400 2015,0,0,009,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/5876510286/,(c) All Rights Reserved,Sun Jun 26 08:27:34 GMT-0400 2011,Mon Jun 27 04:39:48 GMT-0400 2011,213,0,009,(no description),"""Ramphocelus Carbo"" ""Silver beak tanager"" ""Silver beaked tanager"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/2055731575/,(c) All Rights Reserved,Thu Nov 22 00:04:35 GMT-0500 2007,Thu Nov 22 22:26:47 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",12,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21497421114/,(c) All Rights Reserved,Sun Oct 4 07:34:54 GMT-0400 2015,Mon Oct 12 19:39:47 GMT-0400 2015,0,0,010,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21632370050/,(c) All Rights Reserved,Sun Sep 20 06:52:29 GMT-0400 2015,Tue Sep 29 17:20:53 GMT-0400 2015,0,0,010,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4249160773/,(c) All Rights Reserved,Tue Jan 5 01:09:18 GMT-0500 2010,Tue Jan 5 21:19:45 GMT-0500 2010,"Latitude:10.233251, Longitude:-61.496143",28,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/4983962297/,(c) All Rights Reserved,Sat Sep 11 05:03:00 GMT-0400 2010,Sun Sep 12 18:35:01 GMT-0400 2010,34,0,010,(no description),"""Mt Horeb"" Wisconsin"
TaranRampersad,https://www.flickr.com/photos/knowprose/2055733051/,(c) All Rights Reserved,Thu Nov 22 00:04:41 GMT-0500 2007,Thu Nov 22 22:27:44 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",8,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21632535378/,(c) All Rights Reserved,Sun Sep 20 06:52:39 GMT-0400 2015,Tue Sep 29 17:21:19 GMT-0400 2015,0,0,011,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/22114390872/,(c) All Rights Reserved,Sun Oct 4 07:35:00 GMT-0400 2015,Tue Oct 13 01:27:31 GMT-0400 2015,0,0,011,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21830761861/,(c) All Rights Reserved,Sun Sep 20 06:52:39 GMT-0400 2015,Tue Sep 29 18:01:54 GMT-0400 2015,0,0,011_2_3_4_5Enhancer,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4249936270/,(c) All Rights Reserved,Tue Jan 5 01:09:21 GMT-0500 2010,Tue Jan 5 21:20:26 GMT-0500 2010,"Latitude:10.233251, Longitude:-61.496143",25,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21632386220/,(c) All Rights Reserved,Sun Sep 20 06:52:39 GMT-0400 2015,Tue Sep 29 17:21:43 GMT-0400 2015,0,0,012,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21932388798/,(c) All Rights Reserved,Sun Oct 4 07:35:00 GMT-0400 2015,Mon Oct 12 19:40:40 GMT-0400 2015,0,0,012,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4983965981/,(c) All Rights Reserved,Sat Sep 11 05:07:46 GMT-0400 2010,Sun Sep 12 18:36:09 GMT-0400 2010,41,0,012,Interesting array of signs. And apparently the Community Building is for rent. :-),"""Mt Horeb"" Wisconsin signs"
TaranRampersad,https://www.flickr.com/photos/knowprose/2056522000/,(c) All Rights Reserved,Thu Nov 22 02:00:00 GMT-0500 2007,Thu Nov 22 22:29:44 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",7,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21633557799/,(c) All Rights Reserved,Sun Sep 20 06:52:39 GMT-0400 2015,Tue Sep 29 17:22:12 GMT-0400 2015,0,0,013,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/22124941575/,(c) All Rights Reserved,Sun Oct 4 07:35:00 GMT-0400 2015,Mon Oct 12 23:36:34 GMT-0400 2015,0,0,013,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/5863853366/,(c) All Rights Reserved,Thu Jun 23 06:13:36 GMT-0400 2011,Thu Jun 23 12:15:16 GMT-0400 2011,29,0,013,(no description),"""Electrical Times"" 1946 magazine journal"
TaranRampersad,https://www.flickr.com/photos/knowprose/5875951129/,(c) All Rights Reserved,Sun Jun 26 09:01:25 GMT-0400 2011,Mon Jun 27 04:40:42 GMT-0400 2011,54,0,013,(no description),"""quiscalus lugubris"" ""carib grackle"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/2055738831/,(c) All Rights Reserved,Thu Nov 22 02:00:02 GMT-0500 2007,Thu Nov 22 22:31:04 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",7,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21794306866/,(c) All Rights Reserved,Sun Sep 20 06:52:40 GMT-0400 2015,Tue Sep 29 17:22:35 GMT-0400 2015,0,0,014,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21933370179/,(c) All Rights Reserved,Sun Oct 4 07:35:00 GMT-0400 2015,Mon Oct 12 19:41:32 GMT-0400 2015,0,0,014,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/5876512368/,(c) All Rights Reserved,Sun Jun 26 09:01:41 GMT-0400 2011,Mon Jun 27 04:40:57 GMT-0400 2011,22,0,014,(no description),"""Great Kiskedee"" ""Pitangus sulphuratus"" Blanchisseuse Trinidad ""Trinidad and Tobago"" ""laguna mar"" Caribbean ""West Indies"""
TaranRampersad,https://www.flickr.com/photos/knowprose/19406063375/,(c) All Rights Reserved,Tue Jun 2 05:22:00 GMT-0400 2015,Sat Jul 4 09:11:33 GMT-0400 2015,35,0,015,(no description),"Sunrise ""New Smyrna Beach"" beach Florida seaside outdoor sea"
TaranRampersad,https://www.flickr.com/photos/knowprose/2055740539/,(c) All Rights Reserved,Thu Nov 22 02:00:05 GMT-0500 2007,Thu Nov 22 22:31:58 GMT-0500 2007,"Latitude:27.784416, Longitude:-82.663536",7,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/21199370823/,(c) All Rights Reserved,Sun Sep 20 06:52:40 GMT-0400 2015,Tue Sep 29 17:23:00 GMT-0400 2015,0,0,015,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21932114280/,(c) All Rights Reserved,Sun Oct 4 07:35:00 GMT-0400 2015,Mon Oct 12 19:41:58 GMT-0400 2015,0,0,015,(no description),(no tags
